Station,Community,Location,Capacity (MW),In-Service Date
Dunsam power station,"Ghanche, Gilgit-Baltistan",,,
Boladas-I Dam,"Hunza Valley, Gilgit-Baltistan",,0.64,
Khunjerab Dam,Gujrab River,,0.59,
Gol Dam,Skardu,,0.4,
"Harpo-I, Harchu, Dainyor, Gurikot, Kayo, Dango Das Hydropower Project",Gilgit-Baltistan,,2,
"Manthoka, Astore, Gulmit, Tolti-I, Khaplu-I, Kachura-I, Darel Hydropower Project",Gilgit-Baltistan,,1.5,
"Khaibar-I, II, Mushki, Rattu, Misgar, Ghandus, Kiris-I, Thally-I, Mendi, Stak Hydropower Project",Gilgit-Baltistan,,4.85,
"Tangir-I, Chillas-II, Hayul, Khaplu-I, Sumayar-I, Mehdabad, Nomal, Pari Hydropower Project",Gilgit-Baltistan,,1.5,
"[[Jaglot Sai, Sermik-I, Olding-I, Thore, Minapin-I, Ahmadabad-I, II, Chalt-I, Sosat Hydropower, Jalalabad, Tangir Dam, Bunner, Parishing/Louse, Shirting, Sher Qila, Shigar ,  Khyber-I, Khyber-II, Chalt, Naz Bar, Hisper-I, Haramosh, Tormik-I, Basho-I, Sermik, Pion, Chitral Hydel, Jari, Machai]]",Gilgit-Baltistan,,1,
"Hasanabad-I, II, III, IV, V Dams",Hunza Valley,,2,
Dumsum Dam,Gah,,1.5,
Balagond Dam,Gah,,1.5,
"Ishkuman-I, II Dams",Ishkuman,,2.38,
Ashuran Dam,,,1.2,
Thall Dam,,,0.4,
"Bumborat, Rashang HPP, Matta HPP, Shishi, Karora, Kalam HPP, Keyal, Kaghan, Duber, Jalkot, Gram Chashma, Damori, Keel, Pattika, Chinari, Serai, Kumrat HPPs",Various Locations in KPK,,2.2,
Total In-Service Generation,,,10132.53,
